iter	MAE
0	3311653.358
1	3260943.848
2	3211311.251
3	3162271.929
4	3115768.309
5	3071328.87
6	3028668.875
7	2986298.081
8	2946045.298
9	2909260.449
10	2871916.118
11	2834984.659
12	2799960.355
13	2766653.188
14	2733718.203
15	2703118.473
16	2672121.718
17	2643395.706
18	2614861.078
19	2588999.827
20	2562462.432
21	2537047.526
22	2513269.513
23	2489895.972
24	2467672.839
25	2445059.21
26	2423535.537
27	2404423.363
28	2385882.502
29	2368600.346
30	2350072.79
31	2333510.658
32	2316448.467
33	2300598.269
34	2285668.384
35	2271164.108
36	2256632.586
37	2242642.552
38	2230235.101
39	2217170.725
40	2204944.053
41	2193116.061
42	2181253.698
43	2170545.616
44	2159240.408
45	2148633.098
46	2138427.043
47	2128376.152
48	2118904.102
49	2109564.198
50	2100976.01
51	2092616.72
52	2084154.894
53	2076535.951
54	2069526.383
55	2062240.175
56	2055290.502
57	2048687.311
58	2041663.017
59	2035372.439
60	2029453.449
61	2023793.981
62	2018305.75
63	2012679.975
64	2007360.68
65	2002325.859
66	1997515.683
67	1992913.535
68	1988027.146
69	1983151.089
70	1978434.419
71	1974442.454
72	1970385.647
73	1966382.89
74	1962592.52
75	1958753.647
76	1955374.646
77	1951754.241
78	1948180.832
79	1944736.95
80	1941301.908
81	1938053.08
82	1934967.905
83	1932132.287
84	1929352.843
85	1926260.28
86	1923361.001
87	1920592.493
88	1917723.226
89	1915520.772
90	1913229.307
91	1910726.337
92	1908009.452
93	1905544.761
94	1903496.254
95	1901352.089
96	1899524.154
97	1897612.072
98	1895417.122
99	1893375.35
100	1891209.98
101	1889440.986
102	1887668.197
103	1885951.944
104	1884084.721
105	1882220.267
106	1880677.886
107	1878771.872
108	1876943.779
109	1875287.374
110	1873338.908
111	1871842.058
112	1870549.131
113	1869205.771
114	1867611.654
115	1866052.955
116	1864801.801
117	1863234.49
118	1861824.437
119	1860453.499
120	1859170.132
121	1857774.114
122	1856408.343
123	1855418.702
124	1854277.356
125	1853043.477
126	1851510.002
127	1850294.571
128	1848998.596
129	1847552.345
130	1846350.736
131	1845350.748
132	1844194.65
133	1843236.779
134	1842252.597
135	1841235.857
136	1840490.113
137	1839487.569
138	1838445.849
139	1837310.073
140	1836403.385
141	1835062.82
142	1834016.756
143	1833019.404
144	1832244.815
145	1831359.477
146	1830735.78
147	1830037.455
148	1829237.917
149	1828442.081
150	1827527.948
151	1826798.517
152	1825810.467
153	1825128.518
154	1824213.699
155	1823461.072
156	1822552.739
157	1821676.907
158	1820991.791
159	1819924.879
160	1819241.663
161	1818294.008
162	1817572.367
163	1817023.689
