iter	Passed	Remaining
0	69	86696
1	143	90012
2	218	91522
3	297	93110
4	420	105306
5	519	108264
6	638	114039
7	710	110920
8	778	107931
9	847	105695
10	942	106815
11	1051	109051
12	1153	110366
13	1222	108524
14	1293	107079
15	1363	105775
16	1437	104837
17	1506	103726
18	1576	102724
19	1645	101776
20	1721	101339
21	1790	100530
22	1864	100019
23	1932	99302
24	2017	99411
25	2087	98854
26	2160	98428
27	2230	97910
28	2301	97445
29	2369	96910
30	2440	96517
31	2509	96061
32	2589	96034
33	2659	95655
34	2736	95549
35	2805	95161
36	2882	95046
37	2952	94710
38	3035	94808
39	3104	94440
40	3175	94188
41	3242	93805
42	3310	93456
43	3376	93087
44	3443	92758
45	3507	92350
46	3577	92090
47	3646	91852
48	3724	91823
49	3791	91527
50	3863	91358
51	3943	91374
52	4016	91251
53	4084	90985
54	4152	90761
55	4222	90561
56	4294	90403
57	4361	90169
58	4428	89926
59	4498	89746
60	4565	89504
61	4633	89308
62	4700	89081
63	4780	89119
64	4855	89048
65	4922	88825
66	4989	88622
67	5100	89190
68	5221	89906
69	5319	90211
70	5388	90016
71	5454	89773
72	5558	90149
73	5654	90391
74	5730	90319
75	5797	90089
76	5880	90109
77	5946	89889
78	6014	89689
79	6082	89495
80	6152	89324
81	6217	89099
82	6316	89338
83	6513	90954
84	6654	91746
85	6832	93038
86	6970	93745
87	7087	94144
88	7155	93904
89	7224	93674
90	7290	93415
91	7358	93178
92	7427	92968
93	7497	92766
94	7563	92516
95	7633	92313
96	7699	92082
97	7772	91926
98	7851	91834
99	7925	91693
100	8015	91747
101	8087	91580
102	8212	92014
103	8328	92331
104	8446	92666
105	8510	92414
106	8578	92195
107	8643	91957
108	8709	91728
109	8782	91573
110	8854	91418
111	8934	91336
112	9007	91188
113	9075	90991
114	9162	90986
115	9276	91250
116	9345	91060
117	9414	90871
118	9480	90665
119	9547	90461
120	9613	90257
121	9681	90065
122	9747	89870
123	9820	89730
124	9885	89519
125	9956	89372
126	10034	89284
127	10104	89122
128	10173	88954
129	10240	88780
130	10311	88635
131	10379	88461
132	10448	88298
133	10527	88226
134	10598	88087
135	10664	87907
136	10775	88088
137	10876	88194
138	10947	88053
139	11022	87945
140	11091	87791
141	11292	88671
142	11403	88837
143	11486	88782
144	11582	88827
145	11684	88914
146	11751	88733
147	11821	88579
148	11892	88438
149	11963	88292
150	12032	88129
151	12112	88051
152	12181	87898
153	12248	87730
154	12341	87742
155	12462	87958
156	12592	88226
157	12716	88452
158	12846	88713
159	12967	88906
160	13072	88991
161	13150	88885
162	13216	88707
163	13284	88538
164	13351	88362
165	13416	88176
166	13488	88040
167	13581	88040
168	13709	88260
169	13838	88486
170	13974	88750
171	14102	88963
172	14229	89162
173	14366	89418
174	14488	89578
175	14616	89776
176	14779	90181
177	14934	90528
178	15073	90776
179	15194	90915
180	15316	91055
181	15437	91185
182	15557	91305
183	15684	91466
184	15807	91596
185	15955	91870
186	16151	92418
187	16317	92784
188	16499	93237
189	16687	93715
190	16854	94067
191	16992	94255
192	17120	94381
193	17261	94580
194	17410	94819
195	17546	94985
196	17682	95141
197	17831	95369
198	17966	95521
199	18105	95690
200	18256	95915
201	18400	96103
202	18662	96899
203	18847	97288
204	19244	98757
205	19610	100049
206	19815	100512
207	20147	101610
208	20595	103273
209	20885	104128
210	21061	104408
211	21205	104528
212	21342	104610
213	21541	104991
214	21769	105505
215	22031	106179
216	22194	106369
217	22328	106418
218	22467	106491
219	22595	106506
220	22740	106603
221	22870	106624
222	22998	106638
223	23153	106774
224	23277	106764
225	23404	106771
226	23543	106826
227	23664	106802
228	23818	106922
229	23955	106968
230	24102	107051
231	24246	107121
232	24384	107165
233	24537	107273
234	24660	107248
235	24790	107251
236	24936	107321
237	25066	107324
238	25197	107327
239	25320	107297
240	25445	107270
241	25581	107295
242	25699	107238
243	25780	107030
244	25850	106776
245	25919	106520
246	25987	106263
247	26066	106053
248	26137	105811
249	26212	105584
250	26280	105332
251	26350	105087
252	26418	104840
253	26486	104591
254	26558	104358
255	26656	104229
256	26811	104324
257	26918	104229
258	27028	104146
259	27136	104058
260	27256	104014
261	27341	103836
262	27410	103595
263	27477	103351
264	27550	103133
265	27620	102902
266	27689	102668
267	27761	102446
268	27829	102215
269	27944	102152
270	28090	102203
271	28223	102206
272	28327	102102
273	28392	101859
274	28459	101625
275	28525	101391
276	28653	101374
277	28783	101363
278	28871	101204
279	28950	101015
280	29036	100854
281	29216	101015
282	29536	101654
283	29716	101810
284	29890	101942
285	30073	102102
286	30289	102372
287	30472	102527
288	30593	102472
